name,creator,creation_date,updater,update_date,closed_date,message
brianmario/mysql2,sodabrew,1510689902000,sodabrew,1513351209000,1513351209000,"New Features\r\n====\r\n* Make sure ssl is enabled if only :sslverify is set (#889)\r\n\r\nFixes\r\n====\r\n* Cast the BIT(1) type when :cast_booleans is true for prepared statements (#883, #903)\r\n* Compilation failures against MariaDB Connector/C 3.0.2 (#878, #888, #895, #900, #901, #902)\r\n* MYSQL_SECURE_AUTH has been removed in MySQL 8.0.3 RC (#892, #898)\r\n\r\nChanges\r\n====\r\n* Better specs (#904)\r\n* Extended keyword for the explain statement has been removed (#894)"
brianmario/mysql2,sodabrew,1502425394000,sodabrew,1502425941000,1502425941000,"Bug Fixes\r\n===\r\n\r\n* Fixed enable_cleartext_plugin mode (#874)\r\n* Prepared statements should handle booleans properly (#871)"
brianmario/mysql2,sodabrew,1499719207000,sodabrew,1499736955000,1499736955000,"Bug Fixes\r\n===\r\n\r\nAdd ifdefs for MySQL 5.1 without MYSQL_ENABLE_CLEARTEXT_PLUGIN "
brianmario/mysql2,sodabrew,1498950257000,sodabrew,1498951486000,1498951486000,"New Features\r\n===\r\n\r\n* Add Mysql2::Client#closed? (#796)\r\n* Adding support for MYSQL_ENABLE_CLEARTEXT_PLUGIN flag (#845)\r\n\r\nBugfixes\r\n===\r\n\r\n* Avoid invalidating re-assigned socket fd by fixing connected check (#847)\r\n* Fix use after free of client field when closing with reconnect option (#846)\r\n* Fix segfault for Mysql2::Statement#fields on non-SELECT queries (#860)\r\n\r\nChanges\r\n===\r\n\r\n* Support for MariaDB 10.2 (#857 and others)\r\n* Close several unclosed clients in tests (#848)\r\n* Docs: Fix link in readme (#854)\r\n* Fix incorrect use of word \"deprecated\" (#855)\r\n* Fix leaky test that caused a re-assigned socket to be closed on GC. (#853)\r\n* Wait for close to be processed by server in test for Threads_connected (#850)\r\n* Fix flaky test that used Process.wait without specifying a pid (#849)"
brianmario/mysql2,sodabrew,1493877851000,sodabrew,1493885692000,1493885692000,"New Features\r\n===\r\nNone.\r\n\r\nBugfixes\r\n===\r\n* Mysql2::Error: This connection is still waiting for a result, try again once you have the result (#772)\r\n* Handle being terminated while reading query result (#811 )\r\n* Fix segfault on SIGINT race condition (#816, #813)\r\n* Better error messages when the connection options have errors (#831)\r\n\r\nChanges\r\n===\r\n* Use `bool` instead of `my_bool` which has been removed since MySQL 8.0.1 (#840, #838)\r\n* Reminder for Mac users to install xcode-select (#832)\r\n* Update Travis CI and AppVeyor matrix (#820, #819, #812)\r\n* Update Travis CI for MySQL 8.0 tests (#818, #817)\r\n "
brianmario/mysql2,sodabrew,1477114914000,sodabrew,1477116019000,1477116019000,"# New Features\n- Add new connection argument :ssl_mode to Mysql2::Client#new\n- Prepared statements now support DateTime arguments\n\n# Bugfixes\n- Fix segfault when `wrapper->result` is used after it is freed\n- Raise an exception but don't crash on non-string encoding argument\n- Raise an exception but don't crash on nil argument to Mysql2::Client#new\n- Avoid RangeError on integers larger than LONG_LONG\n- Fix a BigDecimal value binding in Prepared Statements\n- Avoid type error when using connect_timeout, read_timeout and write_timeout in a DATABASE_URL env variable\n\n# Changes\n- Travis CI matrix now includes MySQL 8.0\n- Travis CI matrix defaults to MySQL 5.6\n- AppVeyor CI matrix switched to MySQL 5.7\n- Fix test that implicitly creates a passwordless user\n- Use RSpec expect output instead of StringIO\n- Move macro REQUIRE_CONNECTED to client.c\n- Add a note about casting boolean columns\n- Suppress rubocop's invalid UTF-8 literal warning\n"
brianmario/mysql2,sodabrew,1462671037000,sodabrew,1462671269000,1462671269000,"# New Features\n\nNone\n\n# Bugfixes\n- Fix segfault when :cache_rows => false\n\n# Changes\n- Add Ruby 2.3.1 to the Travis CI matrix\n- Use `Thread.handle_interrupt` to protect `Client#query` against Timeout interrupts\n"
brianmario/mysql2,sodabrew,1461064910000,sodabrew,1461065229000,1461065229000,"# New Features\n- None\n\n# Bugfixes\n- Fix segv when num of rows is zero\n- Fix failed to allocate memory for an empty result set\n- Fix :cache_rows => false on prepared statements\n- Fix results buffer allocation fails with prepared statements\n\n# Changes\n- Allow repeated each with :cache_rows => false\n- Fix some tests for non-default creds \n- Use the Travis Trusty image for Travis CI\n"
brianmario/mysql2,sodabrew,1456338513000,sodabrew,1456435236000,1456435236000,"# New Features\n- Add method Client#ssl_cipher to expose mysql_get_ssl_cipher\n- Add method Result#free to immediately free a result set\n- Add connection flag `automatic_close: true/false` to determine whether to work around connections being closed by garbage collection in a child after a fork. Default is `true`, which restores behavior prior to 0.3.16.\n\n# Bugfixes\n- Fix to hold the GVL between mysql_stmt_execute and mysql_stmt_store_result to prevent commands hitting the wire out of sync (e.g. if a GC run occurs in the middle)\n- Fix BigDecimal arguments to Prepared Statements were ignored\n- Fix rake re-definition warning\n\n# Changes\n- Add Ruby 2.3 to the Travis CI matrix\n- Allow nil for timeouts instead of casting to 0 when creating a Client instance\n- Add connection flag `automatic_close: true/false` to determine whether to work around connections being closed by garbage collection in a child after a fork. Default is `true`, which restores behavior prior to 0.3.16.\n"
brianmario/mysql2,sodabrew,1448485666000,sodabrew,1449093231000,1449093231000,"# New Features\n- Add Array and String parsing to the `Mysql2::Client.new(:flags => ...)` parameter to make it easier to pass flags from database.yml by name rather than magic numbers.\n- Add compile-time configure flag `--with-sanitize[=address,cfi,integer,memory,thread,undefined]` to enable Clang / GCC sanitizers.\n\n# Bug Fixes\n- Fix memory leak in Mysql2::Client#close\n- Don't enable Clang sanitizers on end-user CI systems where the mysql2 gem is not the thing under test.\n\n# Changes\n- Update Travis tests for MariaDB 5.5, 10.0, 10.1, and MySQL 5.7 GA.\n"
